pct_2nd_serve_pw,points_won_2nd_serve_pw,total_points_2nd_serve_pw,matches_2nd_serve_pw,standing_player2,standing_player_2nd_serve_pw
0.5549,1158,2087,71,Daniil Medvedev,1
0.5526,1114,2016,58,Novak Djokovic,2
0.5499,976,1775,54,Roberto Bautista Agut,3
0.548,976,1781,59,Diego Schwartzman,4
0.5411,1197,2212,71,Andrey Rublev,5
0.5385,1036,1924,70,Casper Ruud,6
0.5344,1197,2240,74,Alexander Zverev,7
0.5315,642,1208,47,Federico Delbonis,8
0.5304,768,1448,47,Ilya Ivashka,9
0.5302,816,1539,49,Albert Ramos-Vinolas,10
0.5288,1092,2065,74,Cameron Norrie,11
0.5264,809,1537,49,Carlos Alcaraz,12
0.523,853,1631,60,Nikoloz Basilashvili,13
0.5221,1123,2151,68,Jannik Sinner,14
0.5194,696,1340,44,Emil Ruusuvuori,15
0.518,720,1390,49,Sebastian Korda,16
0.512,1071,2092,74,Stefanos Tsitsipas,17
0.5115,825,1613,50,Alejandro Davidovich Fokina,18
0.5093,742,1457,49,John Millman,19
0.5091,812,1595,54,Aslan Karatsev,20
0.5088,956,1879,59,Karen Khachanov,21
0.5084,727,1430,49,Laslo Djere,22
0.5075,882,1738,56,Frances Tiafoe,23
0.5066,689,1360,54,Pablo Carreno Busta,24
0.5064,713,1408,45,Daniel Evans,25
0.5046,816,1617,49,Marton Fucsovics,26
0.5045,789,1564,51,Marin Cilic,27
0.5,715,1430,48,Tommy Paul,28
0.4996,632,1265,44,Dusan Lajovic,29
0.4994,808,1618,52,Jan-Lennard Struff,30
0.4955,720,1453,48,Alex de Minaur,31
0.4944,801,1620,53,Denis Shapovalov,32
0.4939,887,1796,62,Felix Auger-Aliassime,33
0.4932,909,1843,56,Taylor Fritz,34
0.4926,636,1291,45,Dominik Koepfer,35
0.4885,741,1517,51,Lloyd Harris,36
0.4867,881,1810,59,Hubert Hurkacz,37
0.4853,693,1428,46,Fabio Fognini,38
0.4785,735,1536,51,Lorenzo Sonego,39
0.4681,792,1692,53,Matteo Berrettini,40
0.4563,805,1764,62,Alexander Bublik,41
