pct_2nd_serve_rpw,points_won_2nd_serve_rpw,total_points_2nd_serve_rpw,matches_2nd_serve_rpw,standing_player2,standing_player_2nd_serve_rpw
0.5599,771,1377,49,Novak Djokovic,1
0.5512,834,1513,53,Roberto Bautista Agut,2
0.5472,724,1323,44,Andy Murray,3
0.5406,839,1552,47,Rafael Nadal,4
0.5398,916,1697,55,Diego Schwartzman,5
0.5386,991,1840,64,Daniil Medvedev,6
0.534,1241,2324,67,Carlos Alcaraz,7
0.5313,968,1822,61,Miomir Kecmanovic,8
0.5302,1008,1901,59,Jannik Sinner,9
0.5258,1009,1919,65,Alex de Minaur,10
0.5257,1195,2273,72,Cameron Norrie,11
0.5229,1062,2031,62,Taylor Fritz,12
0.5198,1000,1924,61,Pablo Carreno Busta,13
0.5156,940,1823,60,Emil Ruusuvuori,14
0.5145,1168,2270,71,Andrey Rublev,15
0.5122,777,1517,51,Albert Ramos-Vinolas,16
0.5106,1008,1974,59,Frances Tiafoe,17
0.5103,820,1607,55,Daniel Evans,18
0.5086,800,1573,52,Adrian Mannarino,19
0.5083,763,1501,52,Sebastian Baez,20
0.5082,810,1594,54,Mackenzie McDonald,21
0.5073,693,1366,45,Pedro Martinez,22
0.505,912,1806,63,Holger Rune,23
0.5047,648,1284,44,Alex Molcan,24
0.5034,1040,2066,70,Casper Ruud,25
0.5033,922,1832,62,Botic van de Zandschulp,26
0.5021,842,1677,55,Sebastian Korda,27
0.501,784,1565,51,Marin Cilic,28
0.5,808,1616,59,Lorenzo Musetti,29
0.5,815,1630,47,Alejandro Davidovich Fokina,30
0.4987,1184,2374,83,Stefanos Tsitsipas,31
0.4975,802,1612,48,David Goffin,32
0.4975,601,1208,46,Jenson Brooksby,33
0.4962,649,1308,48,Grigor Dimitrov,34
0.4959,902,1819,62,Tommy Paul,35
0.4935,871,1765,58,Brandon Nakashima,36
0.4932,729,1478,46,Aslan Karatsev,37
0.4888,961,1966,61,Karen Khachanov,38
0.4787,1126,2352,81,Felix Auger-Aliassime,39
0.4774,876,1835,57,Denis Shapovalov,40
0.4772,710,1488,47,Nick Kyrgios,41
0.4771,929,1947,62,Hubert Hurkacz,42
0.4692,655,1396,44,Laslo Djere,43
0.4602,618,1343,46,Marcos Giron,44
0.4577,715,1562,55,Alexander Bublik,45
0.4543,731,1609,52,Lorenzo Sonego,46
0.4196,681,1623,53,Maxime Cressy,47
