pct_break_points_converted,points_won_break_points_converted,total_points_break_points_converted,matches_break_points_converted,standing_player2,standing_player_break_points_converted
0.4628,168,363,59,Lorenzo Musetti,1
0.4395,229,521,65,Alex de Minaur,2
0.4371,243,556,72,Cameron Norrie,3
0.4371,132,302,46,Jenson Brooksby,4
0.4356,203,466,47,Rafael Nadal,5
0.4266,215,504,55,Diego Schwartzman,6
0.4263,162,380,54,Mackenzie McDonald,7
0.4256,123,289,47,Nick Kyrgios,8
0.4253,165,388,49,Novak Djokovic,9
0.4245,208,490,64,Daniil Medvedev,10
0.4202,187,445,62,Botic van de Zandschulp,11
0.4172,179,429,55,Sebastian Korda,12
0.4164,157,377,55,Daniel Evans,13
0.4159,136,327,52,Lorenzo Sonego,14
0.415,222,535,83,Stefanos Tsitsipas,15
0.4146,148,357,51,Albert Ramos-Vinolas,16
0.4145,206,497,59,Jannik Sinner,17
0.4096,188,459,61,Miomir Kecmanovic,18
0.4086,172,421,63,Holger Rune,19
0.4075,163,400,61,Karen Khachanov,20
0.4035,276,684,67,Carlos Alcaraz,21
0.4033,169,419,47,Alejandro Davidovich Fokina,22
0.4014,114,284,44,Laslo Djere,23
0.3992,95,238,53,Maxime Cressy,24
0.3968,175,441,60,Emil Ruusuvuori,25
0.3952,132,334,55,Alexander Bublik,26
0.3952,98,248,46,Marcos Giron,27
0.3943,209,530,71,Andrey Rublev,28
0.3942,123,312,44,Alex Molcan,29
0.3934,131,333,44,Andy Murray,30
0.3925,188,479,62,Tommy Paul,31
0.3913,162,414,53,Roberto Bautista Agut,32
0.3912,133,340,46,Aslan Karatsev,33
0.389,156,401,48,David Goffin,34
0.3889,126,324,48,Grigor Dimitrov,35
0.386,154,399,51,Marin Cilic,36
0.3859,159,412,52,Sebastian Baez,37
0.3852,188,488,61,Pablo Carreno Busta,38
0.3833,133,347,58,Brandon Nakashima,39
0.3806,153,402,59,Frances Tiafoe,40
0.3805,207,544,62,Taylor Fritz,41
0.3796,145,382,62,Hubert Hurkacz,42
0.3766,209,555,81,Felix Auger-Aliassime,43
0.3736,201,538,70,Casper Ruud,44
0.3593,143,398,57,Denis Shapovalov,45
0.351,126,359,45,Pedro Martinez,46
0.3504,123,351,52,Adrian Mannarino,47
