serve_standing_player_serve,standing_player2,serve_rating_serve,pct_1st_serve_serve,pct_1st_serve_points_won_serve,pct_2nd_serve_points_won_serve,pct_service_games_won_serve,avg_aces_match_serve,avg_double_faultsmatch_serve
1,Nick Kyrgios,312.0,0.715,0.781,0.531,0.925,19.6,2.8
2,Milos Raonic,309.2,0.636,0.829,0.557,0.939,16.5,3.4
3,Matteo Berrettini,297.9,0.615,0.806,0.571,0.909,10.1,2.3
4,Stefanos Tsitsipas,292.2,0.65,0.763,0.572,0.884,7.4,2.1
5,Rafael Nadal,286.6,0.64,0.747,0.578,0.874,4.6,1.9
6,Daniil Medvedev,285.7,0.608,0.779,0.542,0.861,9.3,2.6
7,Andrey Rublev,285.2,0.596,0.79,0.539,0.861,8.1,1.5
8,Taylor Fritz,282.6,0.607,0.78,0.504,0.837,11.9,2.1
9,Novak Djokovic,281.6,0.643,0.754,0.529,0.86,6.0,3.0
10,Maxime Cressy,281.0,0.57,0.754,0.543,0.848,22.0,12.5
11,Casper Ruud,279.1,0.671,0.707,0.549,0.841,4.1,1.8
12,Alexander Zverev,278.2,0.683,0.77,0.45,0.827,10.8,5.6
13,Dominic Thiem,277.7,0.634,0.743,0.514,0.844,7.2,3.0
14,Ugo Humbert,276.9,0.62,0.751,0.519,0.839,6.8,2.8
15,Felix Auger-Aliassime,275.5,0.637,0.748,0.501,0.825,8.6,4.2
16,Roberto Bautista Agut,272.7,0.671,0.681,0.561,0.798,3.5,1.9
17,Karen Khachanov,272.0,0.641,0.723,0.509,0.806,6.7,2.6
18,Pablo Carreno Busta,271.6,0.677,0.697,0.514,0.795,4.9,1.6
19,Denis Shapovalov,270.9,0.604,0.753,0.493,0.822,9.6,5.9
20,Lorenzo Sonego,270.5,0.642,0.726,0.494,0.814,4.9,2.0
21,Borna Coric,270.1,0.634,0.723,0.497,0.803,6.4,2.0
22,Yoshihito Nishioka,266.6,0.676,0.647,0.562,0.773,2.2,1.4
23,Jan-Lennard Struff,266.2,0.559,0.756,0.488,0.798,9.0,2.9
24,Sebastian Korda,264.7,0.705,0.644,0.528,0.74,5.5,2.5
25,Hubert Hurkacz,264.1,0.599,0.738,0.463,0.792,8.7,3.8
26,Jannik Sinner,264.0,0.617,0.71,0.499,0.805,3.4,2.5
27,Emil Ruusuvuori,262.8,0.641,0.719,0.495,0.762,5.6,4.5
28,Tommy Paul,261.3,0.593,0.693,0.525,0.772,5.1,2.1
29,Frances Tiafoe,261.3,0.626,0.694,0.496,0.772,4.6,2.1
30,Daniel Evans,261.2,0.601,0.699,0.515,0.78,3.9,2.2
31,Grigor Dimitrov,261.2,0.622,0.703,0.496,0.792,4.5,4.6
32,Richard Gasquet,261.0,0.598,0.717,0.513,0.761,4.6,2.5
33,Alexander Bublik,260.3,0.571,0.758,0.445,0.784,9.9,5.4
34,Aslan Karatsev,259.3,0.548,0.743,0.479,0.813,5.8,4.8
35,Alex de Minaur,258.5,0.615,0.697,0.494,0.771,3.5,2.7
36,Lorenzo Musetti,257.1,0.641,0.68,0.466,0.776,2.4,1.6
37,Adrian Mannarino,257.1,0.579,0.708,0.499,0.763,5.1,2.9
38,Miomir Kecmanovic,255.9,0.591,0.698,0.493,0.752,4.8,2.3
39,Cameron Norrie,255.4,0.653,0.664,0.498,0.728,5.5,4.4
40,Cristian Garin,254.6,0.614,0.701,0.478,0.749,4.7,4.3
41,Nicolas Jarry,252.0,0.662,0.647,0.462,0.686,8.3,2.0
42,Diego Schwartzman,248.9,0.63,0.648,0.505,0.721,1.4,2.9
43,Alejandro Davidovich Fokina,246.8,0.661,0.636,0.485,0.699,1.7,3.0
44,Andy Murray,244.8,0.523,0.686,0.505,0.727,4.7,4.0
45,J.J. Wolf,242.4,0.546,0.712,0.443,0.705,7.2,5.4
46,Carlos Alcaraz,241.4,0.65,0.664,0.427,0.688,3.0,4.5
47,Tallon Griekspoor,232.4,0.647,0.689,0.347,0.636,3.5,3.0
48,Francisco Cerundolo,221.1,0.593,0.537,0.486,0.615,0.0,2.0
