rank;name;country_name;country_id;num_double_faults
1;Maxime Cressy;United States;USA;410
2;Alexander Bublik;Kazakhstan;KAZ;363
3;Denis Shapovalov;Canada;CAN;324
4;Felix Auger Aliassime;Canada;CAN;272
5;Daniil Medvedev;Russian Federation;RUS;247
6;Botic Van De Zandschulp;Netherlands;NED;239
7;Aslan Karatsev;Russian Federation;RUS;229
8;Holger Vitus Nodskov Rune;Denmark;DEN;217
9;Diego Sebastian Schwartzman;Argentina;ARG;201
10;Benoit Paire;France;FRA;198
11;Fabio Fognini;Italy;ITA;185
12;Emil Ruusuvuori;Finland;FIN;177
13;Jannik Sinner;Italy;ITA;174
13;Stefanos Tsitsipas;Greece;GRE;174
15;Marin Cilic;Croatia;CRO;171
16;Rafael Nadal;Spain;ESP;167
17;Laslo Djere;Serbia;SRB;166
18;Nikoloz Basilashvili;Georgia;GEO;163
19;Carlos Alcaraz Garfia;Spain;ESP;162
20;David Goffin;Belgium;BEL;161
